#TAG,NAME (or Git URL),DESCRIPTION,PKG_DEBIAN,PKG_ARCH,PKG_ARTIX,PKG_UBUNTU,PKG_ROCKY
,noto-fonts,"is a fonts package.",skip,,,skip,skip
,gnome,"is a desktop environment.",gnome-core,gnome,gnome,ubuntu-desktop-minimal,gnome
,gdm,"is the GNOME display manager.",skip,,gdm-runit,skip,skip
,sddm,"is an alternate display manager.",skip,skip,skip,skip,skip
,sddm-runit,"is a package of init scripts for systems running runit.",skip,skip,skip,skip,skip
,gnome-tweaks,"is GNOME tweaks.",,,,skip,
,dash-to-dock,"is the dash-to-dock extension.",gnome-shell-extension-dashtodock,skip,skip,skip,skip
,dash-to-panel,"is the dash-to-panel extension.",gnome-shell-extension-dash-to-panel,skip,skip,skip,skip
,arc-menu,"is an alternate taskbar menu.",gnome-shell-extension-arc-menu,skip,skip,skip,skip
,top-icons-plus,"is a package of icons.",gnome-shell-extension-top-icons-plus,skip,skip,skip,skip
,gnome-terminal,"is a terminal for GNOME.",skip,,,skip,
