#TAG,NAME (or Git URL),DESCRIPTION,PKG_DEBIAN,PKG_ARCH,PKG_ARTIX,PKG_UBUNTU,PKG_ROCKY
,noto-fonts,"is a fonts package.",fonts-noto,,fonts-noto,skip,google-noto-fonts-common
,mate,"is the Mate desktop package.",mate-desktop-environment-core,,,mate-desktop-environment-core,skip
,gdm,"is the GNOME display manager.",gdm3,skip,skip,gdm3,skip
,sddm,"is an alternate display manager.",skip,,sddm-runit,skip,skip
,gnome-terminal,"is a terminal for GNOME.",,,,,
,NetworkManager-adsl,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-bluetooth,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-libreswan-gnome,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-openvpn-gnome,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-ovs,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-ppp,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-team,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-wifi,"is a package for Rocky Mate.",skip,skip,skip,skip,
,NetworkManager-wwan,"is a package for Rocky Mate.",skip,skip,skip,skip,
,adwaita-gtk2-theme,"is a package for Rocky Mate.",skip,skip,skip,skip,
,alsa-plugins-pulseaudio,"is a package for Rocky Mate.",skip,skip,skip,skip,
,atril,"is a package for Rocky Mate.",skip,skip,skip,skip,
,atril-caja,"is a package for Rocky Mate.",skip,skip,skip,skip,
,atril-thumbnailer,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja-actions,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja-image-converter,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja-open-terminal,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja-sendto,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja-wallpaper,"is a package for Rocky Mate.",skip,skip,skip,skip,
,caja-xattr-tags,"is a package for Rocky Mate.",skip,skip,skip,skip,
,dconf-editor,"is a package for Rocky Mate.",skip,skip,skip,skip,
,engrampa,"is a package for Rocky Mate.",skip,skip,skip,skip,
,eom,"is a package for Rocky Mate.",skip,skip,skip,skip,
,firewall-config,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gnome-disk-utility,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gnome-epub-thumbnailer,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gstreamer1-plugins-ugly-free,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gtk2-engines,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gucharmap,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gvfs-fuse,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gvfs-gphoto2,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gvfs-mtp,"is a package for Rocky Mate.",skip,skip,skip,skip,
,gvfs-smb,"is a package for Rocky Mate.",skip,skip,skip,skip,
,initial-setup-gui,"is a package for Rocky Mate.",skip,skip,skip,skip,
,libmatekbd,"is a package for Rocky Mate.",skip,skip,skip,skip,
,libmatemixer,"is a package for Rocky Mate.",skip,skip,skip,skip,
,libmateweather,"is a package for Rocky Mate.",skip,skip,skip,skip,
,libsecret,"is a package for Rocky Mate.",skip,skip,skip,skip,
,lm_sensors,"is a package for Rocky Mate.",skip,skip,skip,skip,
,marco,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-applets,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-backgrounds,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-calc,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-control-center,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-desktop,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-dictionary,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-disk-usage-analyzer,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-icon-theme,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-media,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-menus,"is a package for Rocky Mate.",skip,skip,skip,skip,
